Drug name,Common brand names*,Year approved (US FDA),Elimination half-life (h)† [active metabolite],Therapeutic use
DMCM,?,NaN,?,"anxiogenic, convulsant"
Flumazenil**,Anexate,NaN,1 hour,antidote
Flumazenil**, Lanexat,NaN,1 hour,antidote
Flumazenil**, Mazicon,NaN,1 hour,antidote
Flumazenil**, Romazicon,NaN,1 hour,antidote
Eszopiclone§,Lunesta,2004.0,6 hours,hypnotic
Zaleplon§,Sonata,1999.0,1 hour,hypnotic
Zaleplon§, Starnoc,1999.0,1 hour,hypnotic
Zolpidem§,Ambien,1992.0,2.6 hours,hypnotic
Zolpidem§, Nytamel,1992.0,2.6 hours,hypnotic
Zolpidem§, Sanval,1992.0,2.6 hours,hypnotic
Zolpidem§, Stilnoct,1992.0,2.6 hours,hypnotic
Zolpidem§, Stilnox,1992.0,2.6 hours,hypnotic
Zolpidem§, Sublinox (Canada),1992.0,2.6 hours,hypnotic
Zolpidem§, Xolnox,1992.0,2.6 hours,hypnotic
Zolpidem§, Zoldem,1992.0,2.6 hours,hypnotic
Zolpidem§, Zolnod,1992.0,2.6 hours,hypnotic
Zopiclone§,Imovane,NaN,4–6 hours,hypnotic
Zopiclone§, Rhovane,NaN,4–6 hours,hypnotic
Zopiclone§, Ximovan; Zileze; Zimoclone; Zimovane; Zopitan; Zorclone,NaN,4–6 hours,hypnotic
Zopiclone§, Zopiklone,NaN,4–6 hours,hypnotic
