Year,Author,Book,Award
1929.0,Grace Hallock,The Boy Who Was,Honor
1925.0,Anne Parrish,The Dream Coach,Honor
,Annie Carroll Moore,Nicholas: A Manhattan Christmas Story,Honor
1922.0,Padraic Colum,The Golden Fleece and the Heroes Who Lived Before Achilles,Honor
1923.0,Hugh Lofting,The Voyages of Doctor Dolittle,Winner
1924.0,Charles Boardman Hawes,The Dark Frigate,Winner
1925.0,& Dillwyn Parrish[b],,
1927.0,Will James,Smoky the Cow Horse,Winner
1929.0,Cornelia Meigs,Clearing Weather,Honor
,John Bennett,The Pigtail of Ah Lee Ben Loo with Seventeen Other Laughable Tales and 200 Comical Silhouettes,Honor
,Wanda Gág,Millions of Cats,Honor
1922.0,William Bowen,The Old Tobacco Shop: A True Account of What Befell a Little Boy in Search of Adventure,Honor
1928.0,Caroline Snedeker,Downright Dencey,Honor
1922.0,Charles Boardman Hawes,The Great Quest,Honor
1928.0,Ella Young,The Wonder Smith and His Son,Honor
1922.0,Cornelia Meigs,The Windy Hill,Honor
1929.0,Eric P. Kelly,The Trumpeter of Krakow,Winner
1925.0,Charles Finger,Tales from Silver Lands,Winner
1929.0,Elinor Whitney Field,Tod of the Fens,Honor
1922.0,Bernard Marshall,Cedric the Forester,Honor
1928.0,Dhan Gopal Mukerji,"Gay Neck, the Story of a Pigeon",Winner
1922.0,Hendrik Willem van Loon,The Story of Mankind,Winner
