Name,Year,Position,Ht,Wt
D.M. Therrell,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Carver,,,,
North Atlanta,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Grady,,,,
Lithonia,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Lithonia,,,,
Douglass,,,,
Lithonia,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Lithonia,,,,
Best Academy,,,,
Lithonia,,,,
Best Academy,,,,
D.M. Therrell,,,,
Best Academy,,,,
Grady,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Michael Worthans,11.0,8,5,340.0
D.M. Therrell,,,,
Carver,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Carver,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Douglass,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Douglass,,,,
South Atlanta,,,,
Douglass,,,,
Carver,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Demetrius Arnold,10.0,19,7,200.0
Maynard H. Jackson,,,,
Best Academy,,,,
Lithonia,,,,
Booker T. Washington,,,,
DeAngelo Walker,12.0,7,3,215.0
D.M. Therrell,,,,
Grady,,,,
Douglass,,,,
D.M. Therrell,,,,
Carver,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Grady,,,,
Carver,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Felton Smith,12.0,22,3,225.0
Best Academy,,,,
Lithonia,,,,
Best Academy,,,,
Douglass,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Douglass,,,,
Carver,,,,
Lithonia,,,,
South Atlanta,,,,
Carver,,,,
South Atlanta,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Lithonia,,,,
Best Academy,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Carver,,,,
Grady,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Booker T. Washington,,,,
Lithonia,,,,
Carver,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
North Atlanta,,,,
Grady,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Best Academy,,,,
South Atlanta,,,,
Lithonia,,,,
Booker T. Washington,,,,
Douglass,,,,
North Atlanta,,,,
Lithonia,,,,
Carver,,,,
North Atlanta,,,,
Bishop Wright,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Grady,,,,
Carver,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Monquavious Brinson,10.0,11,6,160.0
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
Grady,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Kidarron Flanigan,9.0,8,7,260.0
South Atlanta,,,,
Benjamen E. Mays,,,,
Romartis Bell,11.0,1,0,160.0
Grady,,,,
Carver,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
"Lorenzo Maddox, Jr",10.0,,,
Carver,,,,
Collins King,12.0,35,5,190.0
Benjamen E. Mays,,,,
Dallas Warmack,11.0,20,9,290.0
Maynard H. Jackson,,,,
Marquez Hurley,12.0,13,,
Carver,,,,
Lithonia,,,,
Douglass,,,,
North Atlanta,,,,
Jordan Davis,,,,
Carver,,,,
Benjamen E. Mays,,,,
Douglass,,,,
D.M. Therrell,,,,
Douglass,,,,
Carver,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Gregory Lampkin,12.0,20,5,235.0
Grady,,,,
Dimarcus Clay,9.0,1,,
Best Academy,,,,
Rontavious Belcher,12.0,0,4,200.0
Douglass,,,,
D.M. Therrell,,,,
Carver,,,,
Grady,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Carver,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Grady,,,,
Lithonia,,,,
Carver,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Grady,,,,
Carver,,,,
North Atlanta,,,,
Lithonia,,,,
Booker T. Washington,,,,
Carver,,,,
North Atlanta,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Best Academy,,,,
Gary Carter,10.0,2,8,165.0
Andre McCoy,9.0,2,6,155.0
Carver,,,,
Douglass,,,,
South Atlanta,,,,
North Atlanta,,,,
Grady,,,,
Carver,,,,
Douglass,,,,
Maynard H. Jackson,,,,
William Harris,10.0,8,7,295.0
Grady,,,,
Carver,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Grady,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Dequavius Sinkfield,10.0,20,11,280.0
Maynard H. Jackson,,,,
Grady,,,,
Best Academy,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Lithonia,,,,
Carver,,,,
Grady,,,,
Leonard Newton,9.0,8,,
Carver,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Nicholas Roberson,9.0,8,9,235.0
Grady,,,,
Douglass,,,,
Best Academy,,,,
North Atlanta,,,,
Douglass,,,,
South Atlanta,,,,
Douglass,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Grady,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Carver,,,,
Douglass,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Carver,,,,
Best Academy,,,,
Darius Marshall,11.0,9,7,200.0
Lithonia,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Carver,,,,
Grady,,,,
D.M. Therrell,,,,
North Atlanta,,,,
Carver,,,,
D.M. Therrell,,,,
North Atlanta,,,,
South Atlanta,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Natrez Patrick ,11.0,14,3,230.0
Grady,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Keevis Montgomery,10.0,15,7,185.0
North Atlanta,,,,
Douglass,,,,
D.M. Therrell,,,,
Grady,,,,
North Atlanta,,,,
Lithonia,,,,
D.M. Therrell,,,,
Grady,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
Lithonia,,,,
Carver,,,,
Edward Curney Jr,12.0,32,5,220.0
Benjamen E. Mays,,,,
Grady,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Grady,,,,
Lithonia,,,,
Grady,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Grady,,,,
Carver,,,,
D.M. Therrell,,,,
Best Academy,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Best Academy,,,,
North Atlanta,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Carver,,,,
Douglass,,,,
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Carver,,,,
Benjamen E. Mays,,,,
Carver,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Best Academy,,,,
Grady,,,,
Aaron Dowdell,10.0,8,,
Best Academy,,,,
Booker T. Washington,,,,
Grady,,,,
North Atlanta,,,,
South Atlanta,,,,
Douglass,,,,
Deterious Postell,9.0,30,10,150.0
South Atlanta,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Carver,,,,
Maynard H. Jackson,,,,
Carver,,,,
Grady,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Carver,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Grady,,,,
Armond Davis,11.0,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
D.M. Therrell,,,,
North Atlanta,,,,
Douglass,,,,
Grady,,,,
D.M. Therrell,,,,
Carver,,,,
Lithonia,,,,
Grady,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Derontay Langford,11.0,1,6,165.0
Best Academy,,,,
Carver,,,,
North Atlanta,,,,
Lithonia,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Traco Mackey,12.0,8,3,275.0
Grady,,,,
Lithonia,,,,
Best Academy,,,,
Grady,,,,
South Atlanta,,,,
Lithonia,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Carver,,,,
D.M. Therrell,,,,
Carver,,,,
North Atlanta,,,,
Best Academy,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Dontavious Cox,11.0,18,8,190.0
Lithonia,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
North Atlanta,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Carver,,,,
Grady,,,,
Carver,,,,
North Atlanta,,,,
Grady,,,,
North Atlanta,,,,
Grady,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Grady,,,,
Carver,,,,
Best Academy,,,,
Douglass,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Montavious Billingley,10.0,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Grady,,,,
Best Academy,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Best Academy,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Grady,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Carver,,,,
Douglass,,,,
Carver,,,,
Grady,,,,
Lithonia,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Carver,,,,
Domennec Favors,10.0,32,8,180.0
Lithonia,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Douglass,,,,
Quinterrius Riley,12.0,31,5,160.0
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Lithonia,,,,
Carver,,,,
Grady,,,,
